FentyMascara,,,,,,,,
web-scraper-order,web-scraper-start-url,ReviewLink,ReviewLink-href,Pagination,Title,Date,UserID,ReviewText
1738781940-14,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,,14 d ago,itsmetima,It does the job and is a decent mascara. The better than sex by too faced I find is less dense and tends to keep the lashes curled higher for longer than this one.
1738781940-15,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,best mascara,14 d ago,eastbrunswick,best lash product I have ever used and love my lashes.
1738781940-16,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,,15 d ago,lypham,"Like the size of the brush. Easily coated my lashes in a few swipes without getting all over my eyelids. The formula is very lengthening and volumizing. However, it did bleed on me towards the end of the day."
1738781940-17,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,,15 d ago,cassietayler,"This is one of my new mascaras! I had been on the hunt for a new one and am a fan of this brand so I was very excited to try it out! 
It is very pigmented so I try and apply light layers!"
1738781940-18,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,definitely worth buying,16 d ago,itsmelsephora,I got this mascara to try it out and its the best one i own so far it has a lot of product. definitely recommend getting for a gift or for your own. Love itt!
1738781940-19,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Beautiful mascara,18 d ago,jazzrae23,"I love this mascara it makes my lashes long and really thick without clumping together. My lashes look long and healthy,It’s easy to use and doesn’t get everywhere like a lot of other mascaras. Doesn’t have a smell that’s awful or strong and It last all day without flaking. The packaging is useful as it’s a flat surface rather than round and it’s easier to store. This will be my go to for now on."
1738781940-20,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Must have,18 d ago,KW04683,"I love how smooth this goes on. Looks great, easy to hold, and maneuver. Really makes your lashes pop. The packaging is eye-catching. I would recommend this product ."
1738781940-21,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Amazing!,19 d ago,Val3231,I received this product from Influenster in exchange for my honest review. This is the first product that I have ever tried from Fenty. As someone who has very straight lashes it is so hard to find a good mascara. This works super well with my lashes I usually curl them with my shiseido eyelash curler then go in with the first coat let it dry curl again and so on with a second coat and omg it does wonders. It makes my eyelashes super nice and voluminous. I love that you can add several coats and it does no clump. This product definitely makes me want to try out more fenty products! So far I am impressed and this is only one product from the line. Can’t wait to try more!
1738781940-22,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Not my favorite,19 d ago,Aubz91,I do like the formula of this mascara but it’s definitely not my favorite by far.  For the price point I expected much more.  I feel like the brush was too big for me and also it smudged quickly.  That being said it did enhance my lash length and volume.
1738781940-23,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Not my favorite mascara,19 d ago,JulyPI,"This’s quite a decent mascara, it definitely gives volume and length, I usually curl my eyelashes before and it didn’t weigh them down. It feels on a drier side for me, and I had some fall outs. I used to have Fenty FULL FRONTAL VOLUME, LIFT & CURL MASCARA, and this one I really loved. It was perfect for me, especially how it curled up my lashes.
The Hella Thick isn’t impressive for me, I wouldn’t buy it for myself."
1738781940-24,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Good but smears if wearing all night,22 d ago,Snemery,"I’ve wanted to try the Fenty brand for awhile so I was really excited about this mascara. Putting it on was nice, smooth not clumpy. Length added was pretty good. I took a picture with one eye done and one not for comparison. It lasted all day and didn’t flake. Only down fall, I don’t always wash my make up off at night, and this mascara smears pretty bad! Not the worst I’ve used, but definitely worst than my regular go-to mascara. I had to use a makeup wipe first thing in the morning where I normally wait and wash my face after coffee. It was also on my pillowcase, which again, isn’t normal for me. If you wash before bed, no problem and good go to!"
1738781940-25,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Worst mascara,23 d ago,Sofi567,"When I came to the shop , the helper convinced me that I wouldn’t look like a panda after using it , but I did  so totally not recommending"
1738781940-26,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Gives volume.,23 d ago,,Brush is thick and fluffy gives volume and length.
1738781940-27,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,,23 d ago,knk0311,This mascara really breathes life into my eyelashes! They’re so long and thick. They’re gorgeous. I love the applicator and the packaging is super cute. I would definitely buy more of this. I received this for free from Influenster and the opinions are my own.
