web-scraper-order,web-scraper-start-url,ReviewLink,ReviewLink-href,Pagination,ReviewText,Date,Title,UserID
1738799716-14,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"I ordered this color, and it’s beautiful! However, the applicator is almost dry when pulled out, and it takes 3-4 tries to get a tiny dot per cheek. I’m not sure if I received a “returned” or “used” product, but there’s not enough blush to enjoy for long.",6 d ago,"A beautiful color, but something is lacking.",silverstiletto
1738799716-15,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,I absolutely love this shade! This gives a nice glow and natural look. It’s perfect for everyday wear and for full glam,6 d ago,New favourite blush,Nahl3
1738799716-16,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"You know, at 54, I was very nervous to try something so… beautiful…so lasting…so complimenting.  But here I am.  And yes, Huda outdid herself and created a shade which is not only stunning, but works I am in love.  Please do not make this a limited edition shade that goes away.  This is stunning.",6 d ago,I cannot love this enough,rnnnnrgrl
1738799716-17,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,New favorite! Blurred effect and smells delicious. Has a lip gloss/powdery texture. Easy to blend. Love!,6 d ago,New fav!,megamazing1988
1738799716-18,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"Oooooh this color! Huda always seems to deliver some of my favorite products! The UBE - Blush Filter Cream is in an awesome vibrant lilac shade that I thought wouldn't work with my pale olive skin tone but it blended beautifully into a stunningly flattering shade. UBE - Blush Filter Cream uses buildable pigments with micro- pearls to help blur imperfections and create a ethereal glow. The texture is soft, creamy and so easy to apply as it melts right into the skin. I love how magical I feel wearing this super flattering, vibrant, unique yet still somewhat subtle shade! A word of caution, a little goes a long way and this is a buildable product so you can refine your perfect vibrancy.",7 d ago,Perfectly unique and flattering color!,Ananael
1738799716-19,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"I love the purple color and it smells good! However, I don’t find it to be as easy to blend as they claim. I feel like I have other blushes that blend easier than this one, so I’m knocking off a star for that.",7 d ago,"Great color, questionable blendability",eewelsh04
1738799716-20,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"After using this product in the past few weeks, I have found that I love it. It is easy to use on my skin",8 d ago,A favorite now,Aliciafer
1738799716-21,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,So happy with this blush. Does exactly what it says and lasts on your skin. I already purchased two other shades prior to this new shade because I loved them. You can use two complimentary shades together for even more looks.,8 d ago,Amazing Product!,sless
1738799716-22,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"NOOoOoo! I wanted to like this so bad, the color is a beautiful burnt cherry. It swatched pretty nice in store, but I immediately had blending issues when I applied to my face. It looks very blotchy and patchy on my skin, I tried a sponge and brush and it just does not work. Unfortunately returning!",8 d ago,Blotchy but beautiful- shame! 🥵,effiesays
1738799716-23,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,This liquid blush is such a fun shade and I just love the feel of it on my skin. It’s such an easy application and it blends out so well too. I just love that it’s such a fun color this time around. So unique and so cool.,8 d ago,Such a Unique Color,AmandaVoss
1738799716-24,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,I actually have this blush in both the Ube and Strawberry shades and love them! They deliver when it comes to long lasting blurring color. I typically use the Ube and the Strawberry together for an ombre effect. Really nice product!,8 d ago,Try It!,midnightwithme
1738799716-25,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"This is such a pretty color!! It's slightly pale but gives the perfect pop when blended out. If you're looking for a liquid blush that is super light, lasts all day, and looks natural this is for you.",8 d ago,amazing!,lexi929
1738799716-26,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"This Ube Blush Filter is super cute! Its flattering purple undertones give the perfect radiant flush, and the lightweight, creamy formula blends effortlessly for a natural finish. Plus, the sleek, travel-friendly packaging makes it super convenient to take anywhere. It’s fun, unique, and a must-have for your makeup bag!",8 d ago,Very pretty!!,KeyFraser
1738799716-27,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,Pretty color and very pigmented. I love it. Definitely added to my daily makeup routine!,9 d ago,Beautiful,solitaaaa
1738799716-28,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,This is the first liquid blush I’ve ever tried and I’m absolutely in love with the color and formula! It was so easy to blend and this color ended up being such a beautiful spring color. It was also really easy to blend!,9 d ago,Love the color!,jaynabethany
1738799716-29,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"Such a dope product! I love Huda's liquid blushes & the cute little applicator which doesn't transfer an overwhelming amount of product. This blush is easily blend-able & buildable. I personally love using it for an ombre look with the ""watermelon pop"" shade. This UBE color is such a cute & girly shade, I feel extra pretty. I feel like pink does that in general for me, so I was very intrigued with this shade. Product smells yummy too! I genuinely am enjoying this blush & want to try other shades now because it's just so easy to use & blend. Mind you it is a small tube BUT you don't need a lot of product because the formula & pigment do the job very well. (gifted in exchange for honest review)",9 d ago,Small but packs color!,AEllyB
1738799716-30,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"I love this formula especially some of the darker colors, but this color did zip for my deep winter contrast. It will probably be nice for others but if you look like me, maybe skip it.",9 d ago,Color is a nope for me,giginessa
1738799716-31,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"Its formula is not bad but too many good liquid blushes came out and many of them out beat this one (formula wise) like YSL, Armani and Hourglass with similar prices, better longevity and blending. So I wouldn’t suggest you get their regular colors unless you’re a collectors. BUT this Ube color wins my heart. Lilac is always my personal favorite color but I never use this color for my face because I have light-medium skin tone with neutral-warm undertone so normally Lilac doesn’t work on me. This one is different. Yes! It looks a little too cool when I dot it on my cheek but it sheers out once I start blending it. It doesn’t look so cool and pale. Instead, it turns to a little pinkish with lilac at the same time. It brightens up my cheeks. It also looks so natural. It’s the most unique color blush in my collection and I can’t stop reaching for it.",9 d ago,Love it for the color!,ptsau
1738799716-32,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,Gorgeous color & formula especially for neutral/cool undertones girlies. Blends out easily.,9 d ago,💕,seraya
1738799716-33,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"HATE it. You get such a TINY amount of product (4.5 mL - literally HALF of a travel size perfume) - for $32, when you could get the Armani liquid blush, which has almost 3 times the amount of product (12 mL) for less than twice the price ($56). The packaging for the Huda blush is also SO cheap and terrible, and the applicator feels cheap too. Plus, the blush has basically zero pigment, so you have to use a LOT to actually see anything. Such a waste of money. Returning.",9 d ago,Hate it.,kitcat99
1738799716-34,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,I absolutely love the color of this blush and the formula of it is also very interesting once blended out I feel like it feels like powder. The formula and color are spot on. I would of never imagined I would love a purple blush as much as I love this one.,9 d ago,Obsessed,Isabel1817
1738799716-35,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"Really love this blush! It blends out like a dream and I applied it directly to the skin then blended it out with a fluffy brush. It wasn’t splotchy at all. The color is pretty pigmented but melts and blends out so beautifully. It definitely has a blurring effect. I’m not sure about the applicator. I like a doe foot but this is more circular so not as easy to get the amount of product on the face as I’d like. The small bottle is perfect for travel, and this will definitely last a long time because a little goes a long way!",9 d ago,So beautiful!,BoyMom143
1738799716-36,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,Love this product. Goes on smoothly! I would recommend,9 d ago,,anabelitaa
1738799716-37,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,This is giving very Barbie era. It’s a cool pink/purple shade! I’m not sure if I pull it off but I think it could be nicer on a darker skin tone. This is too cool for me. It is super pigmented so I would built it up.,9 d ago,Pretty but very cool toned,yarahaik
1738799716-38,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,Love love love the pigment with this blush. It’s really true about a little goes a long way. It does have a scent but it isn’t overbearing and it’s barely noticeable. I would say it’s definitely great for beginners,9 d ago,a must try,Ballernikk
1738799716-39,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,I absolutely love all Huda Beauty products that I’ve tried. This blush is no exception! It works really well and is super pigmented. It blends effortlessly. This is such a beautiful color. I really like this liquid blush.,9 d ago,,TaraLynn530
1738799716-40,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,I want to love. This is such a unique blush color. However I just don’t get the payout as I see on social media. I have to add 3 coats to get a color like so much product. I’m pretty fair skinned too so I just don’t understand,10 d ago,Pretty Shear,Rachlovin
1738799716-41,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"Super impressed with this UBE - Blush Filter by Huda Beauty! The color is beautiful, and the formula is perfect. It blends well, smells amazing and is the perfect shade of pink for all skin tones. I had never used liquid blush before this and now is this has become my new favorite. Now, the texture of the blush is just perfection. It’s creamy and soft, so it glides on like a dream and blends effortlessly. Whether you’re going for a natural, barely-there flush or something more noticeable, it layers beautifully. It doesn’t feel sticky or heavy either, which is a huge win for me. I highly recommend!",10 d ago,A must-have!!!,Mandy1114
1738799716-42,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,Absolutely love this bright cool pink blush! It definitely has a little shimmer/glow to it that is absolutely stunning. The formula is so easy to blend out and a little goes a long way! Huda is the best!,10 d ago,,isabelstimach
